ID_Petani,Desa,Kelompok_Tani,Komoditas,Luas_Tanah_ha,Final_Status,Prioritas,Rekomendasi,Action_Plan
P147,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.4,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P148,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.28,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P149,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.14,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P150,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,1.0,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P151,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.16,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P152,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.16,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P153,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.28,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P154,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.1,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P155,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.28,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P156,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.3,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P157,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P158,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.16,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P159,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.1,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
